# node_id   x   y   h
255 2.42113279e+01 -2.04150403e+01 8.25467779e+00
256 2.55190202e+01 -2.04150403e+01 8.84879641e+00
257 6.55748177e+00 -1.92825456e+01 4.59797957e-01
258 7.86517408e+00 -1.92825456e+01 1.05863667e+00
259 9.17286638e+00 -1.92825456e+01 1.66542089e+00
260 1.04805587e+01 -1.92825456e+01 2.28187792e+00
261 1.17882510e+01 -1.92825456e+01 2.89833495e+00
262 1.30959433e+01 -1.92825456e+01 3.51479198e+00
263 1.44036356e+01 -1.92825456e+01 3.93314931e+00
264 1.57113279e+01 -1.92825456e+01 4.38355561e+00
265 1.70190202e+01 -1.92825456e+01 4.88030866e+00
266 1.83267125e+01 -1.92825456e+01 5.41063458e+00
267 1.96344048e+01 -1.92825456e+01 5.96557141e+00
268 2.09420972e+01 -1.92825456e+01 6.53884655e+00
269 2.22497895e+01 -1.92825456e+01 7.12602933e+00
270 2.35574818e+01 -1.92825456e+01 7.72394446e+00
271 2.48651741e+01 -1.92825456e+01 8.33027851e+00
272 2.61728664e+01 -1.92825456e+01 8.94331737e+00
273 -2.54809798e+01 -1.81500508e+01 8.03803962e+00
274 -2.41732875e+01 -1.81500508e+01 7.38582690e+00
275 -2.28655952e+01 -1.81500508e+01 6.73393147e+00
276 -2.15579028e+01 -1.81500508e+01 6.08245551e+00
277 -2.02502105e+01 -1.81500508e+01 5.43155025e+00
278 -1.89425182e+01 -1.81500508e+01 4.78144924e+00
279 -1.76348259e+01 -1.81500508e+01 4.13253297e+00
280 -1.63271336e+01 -1.81500508e+01 3.48546515e+00
281 -1.50194413e+01 -1.81500508e+01 2.84151328e+00
282 -1.37117490e+01 -1.81500508e+01 2.20344933e+00
283 -1.24040567e+01 -1.81500508e+01 1.57029492e+00
284 -1.10963644e+01 -1.81500508e+01 9.37140507e-01
285 -9.78867208e+00 -1.81500508e+01 3.03986095e-01
286 5.90363562e+00 -1.81500508e+01 3.84644640e-01
287 7.21132792e+00 -1.81500508e+01 9.85640935e-01
288 8.51902023e+00 -1.81500508e+01 1.58543841e+00
289 9.82671254e+00 -1.81500508e+01 2.18427712e+00
290 1.11344048e+01 -1.81500508e+01 2.60139015e+00
291 1.24420972e+01 -1.81500508e+01 2.89350778e+00
292 1.37497895e+01 -1.81500508e+01 3.29160950e+00
293 1.50574818e+01 -1.81500508e+01 3.76211065e+00
294 1.63651741e+01 -1.81500508e+01 4.28115176e+00
295 1.76728664e+01 -1.81500508e+01 4.83308718e+00
296 1.89805587e+01 -1.81500508e+01 5.40783587e+00
297 2.02882510e+01 -1.81500508e+01 5.99883326e+00
298 2.15959433e+01 -1.81500508e+01 6.60171034e+00
299 2.29036356e+01 -1.81500508e+01 7.21348499e+00
300 2.42113279e+01 -1.81500508e+01 7.83206984e+00
301 2.55190202e+01 -1.81500508e+01 8.45596866e+00
302 -2.61348259e+01 -1.70175560e+01 8.42008888e+00
